time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-14 00:00:00+00:00,7,7,4,3
2026-03-15 00:00:00+00:00,1,1,5,4
2026-03-16 00:00:00+00:00,41,40,11,10
2026-03-17 00:00:00+00:00,41,40,12,10
2026-03-18 00:00:00+00:00,27,27,3,3
2026-03-19 00:00:00+00:00,18,18,9,8
2026-03-20 00:00:00+00:00,16,16,12,5
2026-03-21 00:00:00+00:00,10,10,5,5
2026-03-22 00:00:00+00:00,13,12,1,1
2026-03-23 00:00:00+00:00,7,7,6,4
2026-03-24 00:00:00+00:00,8,8,0,0
2026-03-25 00:00:00+00:00,8,7,5,4
2026-03-26 00:00:00+00:00,24,23,24,7
2026-03-27 00:00:00+00:00,18,17,17,8
