time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-14 00:00:00+00:00,7,7,4,3
2026-03-15 00:00:00+00:00,1,1,5,4
2026-03-16 00:00:00+00:00,41,40,11,10
2026-03-17 00:00:00+00:00,41,40,12,10
2026-03-18 00:00:00+00:00,27,27,3,3
2026-03-19 00:00:00+00:00,18,18,9,8
2026-03-20 00:00:00+00:00,16,16,12,5
2026-03-21 00:00:00+00:00,10,10,5,5
2026-03-22 00:00:00+00:00,13,12,1,1
2026-03-23 00:00:00+00:00,7,7,6,4
2026-03-24 00:00:00+00:00,8,8,0,0
2026-03-25 00:00:00+00:00,8,7,5,4
2026-03-26 00:00:00+00:00,24,23,24,7
2026-03-27 00:00:00+00:00,18,17,17,8
2026-03-28 00:00:00+00:00,26,26,9,9
2026-03-29 00:00:00+00:00,66,58,79,9
2026-03-30 00:00:00+00:00,25,17,4,3
2026-03-31 00:00:00+00:00,27,16,19,5
2026-04-01 00:00:00+00:00,29,18,4,4
2026-04-02 00:00:00+00:00,38,25,14,7
2026-04-03 00:00:00+00:00,27,23,9,5
2026-04-04 00:00:00+00:00,35,26,4,4
2026-04-05 00:00:00+00:00,31,20,15,3
2026-04-06 00:00:00+00:00,22,19,22,8
2026-04-07 00:00:00+00:00,31,23,14,9
2026-04-08 00:00:00+00:00,40,25,12,7
2026-04-09 00:00:00+00:00,118,53,7,5
2026-04-10 00:00:00+00:00,146,62,6,5
2026-04-11 00:00:00+00:00,42,23,3,3
2026-04-12 00:00:00+00:00,39,26,2,2
2026-04-13 00:00:00+00:00,24,16,2,2
2026-04-14 00:00:00+00:00,43,20,1,1
2026-04-15 00:00:00+00:00,35,17,3,3
2026-04-16 00:00:00+00:00,34,16,3,3
2026-04-17 00:00:00+00:00,37,18,2,2
2026-04-18 00:00:00+00:00,34,23,1,1
2026-04-19 00:00:00+00:00,40,21,2,2
2026-04-20 00:00:00+00:00,25,15,3,3
2026-04-21 00:00:00+00:00,50,21,2,2
2026-04-22 00:00:00+00:00,90,37,3,3
2026-04-23 00:00:00+00:00,140,45,7,6
2026-04-24 00:00:00+00:00,77,24,1,1
2026-04-25 00:00:00+00:00,78,45,2,2
2026-04-26 00:00:00+00:00,54,17,5,3
